date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-09-01,21.5,17.64,18.05,14.6,25,,85,76.2,73.5,62,15.2,13.4,13.3,11.4,15,7.42,8,1,,,102.2,102.05,102,101.8,102.16,102.01,101.96,101.76,48300,27333.3,34600,20900,2.5,1.8,1.8,1,0,0.1,13.1,11.1,8.1,0,0,0,,06:29:00,19:55:00,13.43,6.48,19.92,3,6,20,21,14,15,,,,,,8,6.1,5.5,3,,,,
2020-08-31,19.3,15.82,16.14,13,,,90,80.3,79.5,69,13.3,12.4,12.5,11.7,16,6.71,8.5,1,,,102.1,101.95,101.89,101.69,102.09,101.93,101.88,101.68,32200,28558.3,26550,20900,2.1,1.6,1.6,1,1.9,0,11.1,9.1,6.1,0,0,0,,06:28:00,19:57:00,13.48,6.47,19.95,6,7,19,19,13,13,,,,,,8,6.3,5.5,3,,,,
2020-08-30,19.7,14.86,14.55,9.4,,,86,76.2,72.5,59,13.6,10.7,10.6,7.5,14,7.83,9,4,,,102.21,101.96,101.95,101.7,102.2,101.95,101.94,101.69,32200,27075,25750,19300,2.2,1.6,1.6,1,3.5,0,9.6,7.5,4.5,0,0,0,,06:26:00,19:59:00,13.55,6.43,19.98,7,7,19,19,13,13,,,,,,8,5.1,4.5,1,,,,
2020-08-29,19.1,16.31,16.5,13.9,,,81,68.6,67.5,54,12.3,10.5,10.6,8.8,45,28.25,26,7,55,28,101.81,101.6,101.62,101.43,101.79,101.59,101.61,101.42,48300,32529.2,36200,24100,2,1.6,1.6,1.2,1.5,0,11.5,9.5,6.5,0,0,0,,06:25:00,20:01:00,13.6,6.42,20.02,6,7,20,20,11,11,,,,,,7,3.2,4,1,,,,
2020-08-28,21.9,16.7,17.2,12.5,25,,92,82.9,78,64,15.8,13.8,13.4,11.1,33,12.08,18.5,4,42,29,101.74,101.61,101.58,101.43,101.73,101.59,101.58,101.42,32200,31862.5,28150,24100,2.5,1.8,1.8,1,0.8,0,12.2,10.2,7.2,0,0,0,,06:23:00,20:04:00,13.68,6.38,20.07,7,9,20,20,13,13,,,,,,7,2.6,3.5,0,,,,
2020-08-27,20.3,16.81,15.85,11.4,,,89,75.9,74.5,60,14.4,12.5,12.3,10.2,13,7.58,7,1,,,101.72,101.6,101.58,101.43,101.71,101.58,101.56,101.42,32200,32200,32200,32200,3,1.7,2,1,2.1,0,10.8,8.8,5.8,0,0,0,,06:22:00,20:06:00,13.73,6.37,20.1,7,7,20,20,13,13,,,,,,3,1.3,1.5,0,,,,
2020-08-26,20.2,16.72,15.75,11.3,,,93,79.4,80.5,68,14.4,13.1,12.5,10.6,21,10.83,11.5,2,,,101.69,101.52,101.51,101.32,101.68,101.5,101.49,101.31,32200,32200,32200,32200,3,1.6,2,1,2.2,0,10.8,8.8,5.8,0,0,0,,06:20:00,20:08:00,13.8,6.33,20.13,7,7,20,20,12,12,,,,,,7,2.7,3.5,0,,,,
2020-08-25,19.8,16.52,15.4,11,,,94,82,80.5,67,14.7,13.4,13.2,11.8,23,10.79,12,1,32,28,101.58,101.48,101.49,101.4,101.57,101.47,101.48,101.39,40200,36200,36200,32200,2.2,1.4,1.6,1,2.6,0,10.4,8.4,5.4,0,0,0,,06:19:00,20:10:00,13.85,6.32,20.17,6,7,22,22,12,12,,,,,,8,2.4,4,0,,,,
2020-08-24,19.6,17.1,16.95,14.3,,,92,81,81.5,71,15.5,13.8,14.1,12.6,22,13.17,13,4,,,101.56,101.45,101.45,101.34,101.55,101.43,101.44,101.33,40200,33858.3,32150,24100,2.3,1.5,1.6,1,1.1,0,11.9,9.9,7,0.3,0.3,0,,06:18:00,20:12:00,13.9,6.3,20.2,6,6,21,21,12,13,,,,,,8,5.3,4,0,,,,
2020-08-23,20.1,16.68,16.55,13,,,89,81.8,81,73,15.2,13.6,13.4,11.6,23,14.42,13,3,35,28,101.69,101.55,101.53,101.36,101.69,101.54,101.51,101.34,40200,35866.7,36200,32200,2.2,1.4,1.6,1,1.4,0,11.6,9.6,6.5,0,0,0,,06:16:00,20:14:00,13.97,6.27,20.23,6,7,20,20,15,15,,,,,,8,7,6,4,,,,
